Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionBeforeStoreOpened,PromoInterval0,PromoInterval1,PromoInterval2,PromoInterval3
24,a,c,4590.0,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
25,c,a,430.0,4,2003,0,0,0,"0,0,0,0",0,0,0,0,0
26,d,a,2300.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
27,a,a,60.0,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
28,a,a,1200.0,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",0,3,6,9,12
29,d,c,2170.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
30,a,a,40.0,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
31,d,c,9800.0,7,2012,0,0,0,"0,0,0,0",0,0,0,0,0
32,a,a,2910.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
33,a,c,1320.0,5,2013,0,0,0,"0,0,0,0",0,0,0,0,0
34,c,a,2240.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
35,d,c,7660.0,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
36,a,c,540.0,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
37,c,a,4230.0,12,2014,0,0,0,"0,0,0,0",0,0,0,0,0
38,d,a,1090.0,4,2007,0,0,0,"0,0,0,0",0,0,0,0,0
39,a,a,260.0,10,2006,1,31,2013,"Feb,May,Aug,Nov",0,2,5,8,11
40,a,a,180.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
41,d,c,1180.0,1,1900,1,31,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
42,a,c,290.0,1,1900,1,40,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
43,d,a,4880.0,1,1900,1,37,2009,"Jan,Apr,Jul,Oct",1,1,4,7,10
44,a,a,540.0,6,2011,0,0,0,"0,0,0,0",0,0,0,0,0
45,d,a,9710.0,2,2014,0,0,0,"0,0,0,0",0,0,0,0,0
46,c,a,1200.0,9,2005,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
47,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
48,a,a,1060.0,5,2012,0,0,0,"0,0,0,0",0,0,0,0,0
49,d,c,18010.0,9,2007,0,0,0,"0,0,0,0",0,0,0,0,0
50,d,a,6260.0,11,2009,0,0,0,"0,0,0,0",0,0,0,0,0
51,a,c,10570.0,7,2013,1,9,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
52,d,c,450.0,4,2014,1,39,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
53,a,c,30360.0,9,2013,0,0,0,"0,0,0,0",0,0,0,0,0
54,d,c,7170.0,8,2014,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
55,a,a,720.0,11,2004,0,0,0,"0,0,0,0",0,0,0,0,0
56,d,c,6620.0,3,2012,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
57,d,c,420.0,6,2014,0,0,0,"0,0,0,0",0,0,0,0,0
58,a,c,7340.0,5,2008,1,27,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
59,a,c,2840.0,6,2007,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
60,d,c,5540.0,10,2009,0,0,0,"0,0,0,0",0,0,0,0,0
61,a,c,350.0,12,2007,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
62,a,a,2050.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
63,c,c,3700.0,6,2010,1,18,2010,"Feb,May,Aug,Nov",0,2,5,8,11
64,d,c,22560.0,1,1900,1,14,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
65,a,c,13840.0,5,2010,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
66,d,a,7660.0,1,1900,1,37,2009,"Jan,Apr,Jul,Oct",1,1,4,7,10
67,a,c,410.0,2,2006,0,0,0,"0,0,0,0",0,0,0,0,0
68,a,c,250.0,1,1900,1,35,2012,"Mar,Jun,Sept,Dec",1,3,6,9,12
69,c,c,1130.0,1,1900,1,40,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
70,c,c,4840.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
71,a,a,17500.0,8,2008,1,37,2009,"Mar,Jun,Sept,Dec",0,3,6,9,12
72,a,a,2200.0,12,2009,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
73,a,c,1650.0,9,2008,0,0,0,"0,0,0,0",0,0,0,0,0
74,a,a,330.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
75,d,c,22440.0,12,2013,0,0,0,"0,0,0,0",0,0,0,0,0
76,d,c,19960.0,3,2006,0,0,0,"0,0,0,0",0,0,0,0,0
77,d,c,1090.0,8,2009,1,10,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
78,a,a,3510.0,11,2006,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
79,a,a,3320.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
80,d,a,7910.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
81,a,a,2370.0,3,2011,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
82,a,a,22390.0,4,2008,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
83,a,a,2710.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
84,a,c,11810.0,8,2014,0,0,0,"0,0,0,0",0,0,0,0,0
85,b,a,1870.0,10,2011,0,0,0,"0,0,0,0",0,0,0,0,0
86,a,a,480.0,2,2005,1,31,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
87,a,a,560.0,12,2010,0,0,0,"0,0,0,0",0,0,0,0,0
88,a,a,10690.0,10,2005,0,0,0,"0,0,0,0",0,0,0,0,0
89,a,a,2380.0,7,2004,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
90,a,a,330.0,11,2007,0,0,0,"0,0,0,0",0,0,0,0,0
91,c,a,2410.0,1,1900,1,35,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
92,c,a,240.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
93,a,a,16690.0,1,1900,1,14,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
94,d,c,14620.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
95,a,a,1890.0,10,2014,0,0,0,"0,0,0,0",0,0,0,0,0
96,a,a,8780.0,2,2005,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
97,d,c,8980.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
98,d,c,15140.0,12,2006,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
99,c,c,2030.0,11,2003,1,22,2012,"Mar,Jun,Sept,Dec",0,3,6,9,12
100,d,a,17930.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
101,d,c,2440.0,1,1900,1,22,2012,"Mar,Jun,Sept,Dec",1,3,6,9,12
102,a,a,150.0,12,2007,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
103,d,c,5210.0,5,2015,0,0,0,"0,0,0,0",0,0,0,0,0
104,a,a,390.0,6,2009,0,0,0,"0,0,0,0",0,0,0,0,0
105,a,c,6190.0,1,1900,1,23,2013,"Mar,Jun,Sept,Dec",1,3,6,9,12
106,a,a,1390.0,8,2013,0,0,0,"0,0,0,0",0,0,0,0,0
107,a,a,1930.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
108,d,c,2190.0,9,2003,0,0,0,"0,0,0,0",0,0,0,0,0
109,a,c,3300.0,11,2010,0,0,0,"0,0,0,0",0,0,0,0,0
110,a,c,46590.0,4,2013,0,0,0,"0,0,0,0",0,0,0,0,0
111,d,c,7890.0,1,1900,1,37,2009,"Jan,Apr,Jul,Oct",1,1,4,7,10
112,a,a,1630.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
113,d,c,20930.0,11,1999,0,0,0,"0,0,0,0",0,0,0,0,0
114,c,a,4510.0,1,1900,1,48,2011,"Mar,Jun,Sept,Dec",1,3,6,9,12
115,d,c,5740.0,4,2007,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
116,a,a,680.0,4,2013,0,0,0,"0,0,0,0",0,0,0,0,0
117,a,a,3450.0,9,2011,0,0,0,"0,0,0,0",0,0,0,0,0
118,d,c,3580.0,9,2012,0,0,0,"0,0,0,0",0,0,0,0,0
119,a,c,2100.0,2,2010,0,0,0,"0,0,0,0",0,0,0,0,0
120,d,a,2290.0,12,2014,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
121,a,a,3570.0,11,2009,1,36,2013,"Mar,Jun,Sept,Dec",0,3,6,9,12
122,a,c,58260.0,4,2013,0,0,0,"0,0,0,0",0,0,0,0,0
123,a,a,16760.0,9,2011,0,0,0,"0,0,0,0",0,0,0,0,0
124,a,a,1410.0,4,2003,0,0,0,"0,0,0,0",0,0,0,0,0
125,a,a,760.0,12,2005,0,0,0,"0,0,0,0",0,0,0,0,0
126,d,a,3370.0,10,2014,1,18,2011,"Feb,May,Aug,Nov",0,2,5,8,11
127,d,a,1350.0,12,2005,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
128,d,c,2000.0,1,1900,1,1,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
129,a,a,2460.0,1,1900,1,14,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
130,c,a,900.0,1,1900,1,13,2010,"Jan,Apr,Jul,Oct",1,1,4,7,10
131,c,a,920.0,7,2015,0,0,0,"0,0,0,0",0,0,0,0,0
132,d,c,1040.0,1,1900,1,27,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
133,a,a,270.0,8,2013,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
134,a,a,1200.0,9,2008,0,0,0,"0,0,0,0",0,0,0,0,0
135,d,a,5190.0,1,1900,1,1,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
136,a,c,2200.0,12,2010,1,22,2012,"Feb,May,Aug,Nov",0,2,5,8,11
137,a,a,1730.0,7,2015,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
138,a,c,25360.0,10,2014,0,0,0,"0,0,0,0",0,0,0,0,0
139,a,a,1700.0,1,2008,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
140,a,c,1090.0,7,2010,1,1,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
141,c,c,1540.0,1,1900,1,22,2012,"Mar,Jun,Sept,Dec",1,3,6,9,12
142,a,a,1090.0,7,2002,0,0,0,"0,0,0,0",0,0,0,0,0
143,d,a,2930.0,12,2002,0,0,0,"0,0,0,0",0,0,0,0,0
144,a,c,16570.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
145,a,a,280.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
146,d,c,8050.0,10,1961,1,48,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
147,d,c,8540.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
148,a,a,2090.0,12,2008,0,0,0,"0,0,0,0",0,0,0,0,0
149,d,a,2610.0,7,2006,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
150,c,c,31830.0,3,2010,0,0,0,"0,0,0,0",0,0,0,0,0
151,d,c,4360.0,10,2005,0,0,0,"0,0,0,0",0,0,0,0,0
152,a,a,1780.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
153,a,a,16240.0,10,2000,1,18,2011,"Feb,May,Aug,Nov",0,2,5,8,11
154,d,c,16420.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
155,d,a,3050.0,1,1900,1,35,2010,"Jan,Apr,Jul,Oct",1,1,4,7,10
156,a,a,2020.0,2,2011,1,14,2011,"Mar,Jun,Sept,Dec",0,3,6,9,12
157,a,c,2950.0,10,2004,0,0,0,"0,0,0,0",0,0,0,0,0
158,d,c,11840.0,1,1900,1,31,2009,"Feb,May,Aug,Nov",1,2,5,8,11
159,d,a,8530.0,3,2013,0,0,0,"0,0,0,0",0,0,0,0,0
160,d,c,17110.0,11,2005,0,0,0,"0,0,0,0",0,0,0,0,0
161,a,c,2970.0,3,2005,0,0,0,"0,0,0,0",0,0,0,0,0
162,d,c,5340.0,3,2012,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
163,a,a,1480.0,4,2009,0,0,0,"0,0,0,0",0,0,0,0,0
164,a,a,1160.0,9,2005,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
165,a,a,3720.0,4,2005,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
166,a,c,100.0,4,2014,1,31,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
167,a,a,140.0,4,2008,0,0,0,"0,0,0,0",0,0,0,0,0
168,a,a,12540.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
169,d,a,980.0,7,2014,1,18,2014,"Feb,May,Aug,Nov",0,2,5,8,11
170,a,a,1070.0,5,2015,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
171,a,a,2640.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
172,a,a,110.0,1,1900,1,40,2014,"Jan,Apr,Jul,Oct",1,1,4,7,10
173,a,a,350.0,12,2012,0,0,0,"0,0,0,0",0,0,0,0,0
174,a,a,13090.0,1,1900,1,22,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
175,c,a,4130.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
176,a,a,3770.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
177,a,a,1250.0,2,2004,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
178,d,a,1710.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
179,a,c,480.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
180,d,a,5800.0,9,2010,0,0,0,"0,0,0,0",0,0,0,0,0
181,a,a,12610.0,3,2013,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
182,d,c,1390.0,1,1900,1,9,2011,"Mar,Jun,Sept,Dec",1,3,6,9,12
183,a,a,9670.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
184,d,c,3560.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
185,d,c,1860.0,5,2015,0,0,0,"0,0,0,0",0,0,0,0,0
186,a,a,290.0,10,2011,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
187,a,c,19360.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
188,d,a,850.0,1,1900,1,18,2011,"Feb,May,Aug,Nov",1,2,5,8,11
189,d,a,5760.0,7,2014,0,0,0,"0,0,0,0",0,0,0,0,0
190,a,a,1470.0,12,2006,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
191,a,a,1100.0,8,2013,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
192,d,c,2770.0,3,2008,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
193,a,a,520.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
194,d,c,16970.0,1,1900,1,5,2013,"Feb,May,Aug,Nov",1,2,5,8,11
195,a,c,220.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
196,c,a,3850.0,11,2005,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
197,c,a,4210.0,3,2015,0,0,0,"0,0,0,0",0,0,0,0,0
198,a,a,290.0,9,2002,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
199,d,c,6360.0,12,2010,1,14,2012,"Mar,Jun,Sept,Dec",0,3,6,9,12
200,a,a,1650.0,10,2000,0,0,0,"0,0,0,0",0,0,0,0,0
201,d,a,20260.0,1,1900,1,18,2014,"Mar,Jun,Sept,Dec",1,3,6,9,12
202,d,c,5140.0,5,2010,0,0,0,"0,0,0,0",0,0,0,0,0
203,c,c,490.0,11,2002,0,0,0,"0,0,0,0",0,0,0,0,0
204,a,a,5630.0,12,2002,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
205,a,a,110.0,12,2007,0,0,0,"0,0,0,0",0,0,0,0,0
206,a,c,380.0,1,1900,1,14,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
207,a,a,6870.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
208,c,a,300.0,4,2006,0,0,0,"0,0,0,0",0,0,0,0,0
209,a,c,11680.0,9,2011,1,31,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
210,d,a,970.0,11,1999,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
211,a,c,350.0,11,2006,0,0,0,"0,0,0,0",0,0,0,0,0
212,a,c,15050.0,9,2008,0,0,0,"0,0,0,0",0,0,0,0,0
213,d,c,4030.0,3,2014,1,1,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
214,d,a,8650.0,7,2013,1,10,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
215,d,a,150.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
216,c,a,190.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
217,c,a,3150.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
218,a,c,640.0,1,1900,1,9,2011,"Mar,Jun,Sept,Dec",1,3,6,9,12
219,a,a,1640.0,2,2013,0,0,0,"0,0,0,0",0,0,0,0,0
220,a,a,1000.0,9,2008,0,0,0,"0,0,0,0",0,0,0,0,0
221,d,c,13530.0,9,2013,0,0,0,"0,0,0,0",0,0,0,0,0
222,a,a,2170.0,11,2008,0,0,0,"0,0,0,0",0,0,0,0,0
223,d,c,2920.0,10,1995,1,27,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
224,d,c,7930.0,1,1900,1,1,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
225,d,a,10180.0,5,2015,0,0,0,"0,0,0,0",0,0,0,0,0
226,a,a,450.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
227,a,a,2370.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
228,d,c,10800.0,1,1900,1,18,2011,"Feb,May,Aug,Nov",1,2,5,8,11
229,d,c,17410.0,4,2007,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
230,d,c,6680.0,9,2013,0,0,0,"0,0,0,0",0,0,0,0,0
231,d,c,3840.0,10,2008,1,39,2010,"Feb,May,Aug,Nov",0,2,5,8,11
232,c,c,13570.0,5,2010,1,10,2013,"Mar,Jun,Sept,Dec",0,3,6,9,12
233,a,a,1890.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
234,d,a,4370.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
235,a,a,5710.0,3,2012,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
236,a,a,1000.0,11,2007,0,0,0,"0,0,0,0",0,0,0,0,0
237,a,a,1420.0,11,2007,0,0,0,"0,0,0,0",0,0,0,0,0
238,a,a,320.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
239,d,c,610.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
240,a,a,1110.0,5,2009,0,0,0,"0,0,0,0",0,0,0,0,0
241,d,c,780.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
242,d,a,6880.0,9,2001,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
243,a,a,310.0,1,1900,1,5,2013,"Feb,May,Aug,Nov",1,2,5,8,11
244,d,a,710.0,3,2012,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
245,a,c,1310.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
246,c,a,4660.0,4,2013,0,0,0,"0,0,0,0",0,0,0,0,0
247,d,c,70.0,11,2010,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
248,a,c,340.0,9,2012,1,40,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
249,d,c,18010.0,9,2014,0,0,0,"0,0,0,0",0,0,0,0,0
250,d,a,3520.0,1,1900,1,18,2012,"Feb,May,Aug,Nov",1,2,5,8,11
251,a,c,340.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
252,d,c,22330.0,1,1900,1,5,2010,"Feb,May,Aug,Nov",1,2,5,8,11
253,a,c,250.0,1,1900,1,5,2013,"Feb,May,Aug,Nov",1,2,5,8,11
254,d,a,330.0,3,2008,1,1,2012,"Mar,Jun,Sept,Dec",0,3,6,9,12
255,c,c,4630.0,3,2011,1,35,2011,"Feb,May,Aug,Nov",0,2,5,8,11
256,a,c,80.0,9,2005,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
257,a,a,420.0,12,2012,0,0,0,"0,0,0,0",0,0,0,0,0
258,a,a,27190.0,7,2010,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
259,b,b,210.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
260,a,a,540.0,10,2011,0,0,0,"0,0,0,0",0,0,0,0,0
261,d,c,15340.0,4,2015,1,39,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
262,b,a,1180.0,5,2013,0,0,0,"0,0,0,0",0,0,0,0,0
263,a,c,1140.0,5,2013,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
264,a,a,180.0,3,2014,0,0,0,"0,0,0,0",0,0,0,0,0
265,a,a,4580.0,1,1900,1,14,2015,"Jan,Apr,Jul,Oct",1,1,4,7,10
266,a,c,360.0,3,2014,1,9,2011,"Mar,Jun,Sept,Dec",0,3,6,9,12
267,c,a,2460.0,1,2012,0,0,0,"0,0,0,0",0,0,0,0,0
268,a,a,4520.0,2,2014,0,0,0,"0,0,0,0",0,0,0,0,0
269,a,c,60.0,6,2015,0,0,0,"0,0,0,0",0,0,0,0,0
270,a,a,1450.0,7,2014,0,0,0,"0,0,0,0",0,0,0,0,0
271,a,a,420.0,1,1900,1,14,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
272,a,a,16180.0,7,2003,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
273,a,c,8480.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
274,b,b,3640.0,1,1900,1,10,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
275,d,a,300.0,5,2014,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
276,a,a,2960.0,10,2014,1,36,2013,"Mar,Jun,Sept,Dec",0,3,6,9,12
277,d,c,7840.0,1,1900,1,31,2009,"Feb,May,Aug,Nov",1,2,5,8,11
278,a,c,9260.0,2,2010,0,0,0,"0,0,0,0",0,0,0,0,0
279,d,c,2320.0,1,1900,1,40,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
280,d,c,18640.0,9,2013,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
281,d,c,6970.0,9,2011,0,0,0,"0,0,0,0",0,0,0,0,0
282,a,a,1220.0,12,2010,0,0,0,"0,0,0,0",0,0,0,0,0
283,a,a,2260.0,1,1900,1,40,2014,"Jan,Apr,Jul,Oct",1,1,4,7,10
284,d,a,1290.0,1,1900,1,40,2014,"Jan,Apr,Jul,Oct",1,1,4,7,10
285,a,a,2410.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
286,a,a,1460.0,4,2015,0,0,0,"0,0,0,0",0,0,0,0,0
287,c,a,2740.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
288,d,a,800.0,1,1900,1,14,2011,"Mar,Jun,Sept,Dec",1,3,6,9,12
289,d,a,6540.0,12,2007,0,0,0,"0,0,0,0",0,0,0,0,0
290,a,a,4150.0,5,2001,0,0,0,"0,0,0,0",0,0,0,0,0
291,d,a,75860.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
292,a,a,1100.0,6,2009,0,0,0,"0,0,0,0",0,0,0,0,0
293,c,c,140.0,11,2007,0,0,0,"0,0,0,0",0,0,0,0,0
294,a,a,3150.0,5,2005,0,0,0,"0,0,0,0",0,0,0,0,0
295,a,a,210.0,11,2000,1,36,2013,"Mar,Jun,Sept,Dec",0,3,6,9,12
296,a,a,9580.0,5,2007,1,45,2014,"Feb,May,Aug,Nov",0,2,5,8,11
297,a,a,2300.0,9,2010,0,0,0,"0,0,0,0",0,0,0,0,0
298,d,a,19840.0,7,2009,0,0,0,"0,0,0,0",0,0,0,0,0
299,d,c,38630.0,9,2012,0,0,0,"0,0,0,0",0,0,0,0,0
300,a,c,120.0,4,2009,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
301,a,c,4510.0,3,2015,0,0,0,"0,0,0,0",0,0,0,0,0
302,d,c,2190.0,12,2007,1,9,2011,"Mar,Jun,Sept,Dec",0,3,6,9,12
303,a,a,15430.0,11,2012,1,18,2011,"Feb,May,Aug,Nov",0,2,5,8,11
304,a,a,1950.0,7,2015,0,0,0,"0,0,0,0",0,0,0,0,0
